month,n_days,t_mean,rh,wind,utci,demand,utci_shade,demand_shade,utci_plus15,demand_plus15,utci_shade_plus15,demand_shade_plus15,utci_plus25,demand_plus25,utci_shade_plus25,demand_shade_plus25,city,v_bar,v_need,v_need_plus15,v_need_plus25,shr,shr_plus15,shr_plus25,rta,inadequate_frac
9,300,23.041541666666664,24.843333333333334,4.418158333333333,27.523964073626328,2.9154147688544745,19.49683915394331,0.02825112204939077,29.1865831938202,4.203974483046882,21.38457121155824,0.1590540716217834,30.306075933566124,5.146953596322339,22.65641161490117,0.36523866931140425,svi_jh,1.3507889470718029,0.6320330741921549,0.9113800700781609,1.1158086111658694,0.7187558728796479,0.43940887699364195,0.23498033590593348,2.1372124374952044,0.20832631731746262
10,310,24.292540322580646,30.454435483870967,4.196927419354839,28.901171559674474,4.136909597866596,21.638368115519622,0.32036589627018747,30.576774762355036,5.449525920963563,23.520625376309177,0.8185791104501103,31.71373608647341,6.402932171786635,24.793289149667412,1.307254984263338,svi_jh,1.3507889470718029,0.8968410665704387,1.181403297229561,1.38809233856226,0.45394788050136414,0.16938564984224191,-0.03730339149045725,1.5061631290338673,0.39369429525330235
11,300,24.262041666666665,39.056666666666665,4.210170833333334,28.853796310379074,3.903459360831019,21.950307008661788,0.31467073052372674,30.568583415293492,5.2734661205316264,23.87140533714469,0.783840965456739,31.7313807040671,6.278743867432243,25.167376081072714,1.2809714070180152,svi_jh,1.3507889470718029,0.8462313651445048,1.1432352745874939,1.361169543007287,0.504557581927298,0.207553672484309,-0.010380595935484127,1.5962407004863717,0.36347800841921907
12,310,24.299193548387098,48.071774193548386,3.683512096774194,28.88458974962466,4.036807752949155,22.68861761727874,0.4404201188806958,30.5920949220579,5.380407063856785,24.57845134992755,1.011304355380474,31.751944361643204,6.349954926000281,25.85673120606708,1.5716927207147353,svi_jh,1.3507889470718029,0.8751399770886372,1.1664190129319927,1.3766073958795626,0.47564896998316564,0.18436993413981018,-0.025818448807759742,1.5435118751694168,0.38102482218028744
1,310,17.552701612903224,66.09435483870968,4.280270161290322,19.108094558945048,0.2068260163695852,13.665254216438285,0.0,20.912768157115405,0.4230353551060478,15.615473233881394,0.0034727078679764527,22.122285488693056,0.6568735494282424,16.928441977240446,0.026163859861902596,svi_hk,1.7324007431443411,0.04483783382916344,0.09170987910056491,0.14240368582744453,1.6875629093151776,1.6406908640437763,1.5899970573168967,38.637030275480264,0.0
2,283,18.485733215547704,70.58701413427562,4.151232332155477,20.4590451210678,0.4744720061209125,15.23677099407184,0.0,22.274628644455408,0.8743546323197978,17.211714832643604,0.0071593136172602625,23.49637339247893,1.2586652697985319,18.54428904965145,0.06900055463268157,svi_hk,1.7324007431443411,0.10286083608081226,0.18955143264790728,0.2728661761435198,1.6295399070635288,1.5428493104964338,1.4595345670008213,16.842180261720667,0.0
3,310,21.26435483870968,76.66975806451613,4.252282258064516,22.944243390660088,0.9012534144346775,18.828698893090245,0.05050014183342399,24.868394849035166,1.6181346016893565,20.907575252845838,0.24674385932628484,26.175145724393147,2.265726300516026,22.322347974458445,0.552109582269466,svi_hk,1.7324007431443411,0.1953828224500425,0.3507955703895495,0.4911870428494226,1.5370179206942987,1.3816051727547916,1.2412137002949186,8.866699341429053,0.0
4,300,24.065250000000002,78.74083333333333,4.0828875,27.12209808309891,2.620549430013409,23.054416352742688,0.4057687561200357,29.115404426680744,3.9835981212478178,25.227254757119578,1.2518764211400297,30.49345256227633,5.048132924039337,26.73049594954925,2.126580907006489,svi_hk,1.7324007431443411,0.5681091863901951,0.8636046554390036,1.0943852672341576,1.1642915567541459,0.8687960877053376,0.6380154759101835,3.0494151206252,0.029017988793866117
5,310,26.514596774193553,83.23790322580645,3.944814516129032,30.459548247836626,5.000099659989323,27.05101683830087,2.1590205261225384,32.66168242582564,6.899307734950288,29.436722621032494,3.980999103828439,34.23538279196818,8.371461678490121,31.14050706882553,5.43483537089112,svi_hk,1.7324007431443411,1.0839721308717654,1.4957016490767479,1.814850057241387,0.6484286122725758,0.23669909406759326,-0.08244931409704592,1.5981967559914003,0.17693895606015925
6,300,28.31929166666667,84.60958333333333,4.251445833333333,32.93534906077195,6.973056568060965,29.759105920901188,3.815810629804571,35.36138214841599,9.361382148415988,32.37803892378206,6.38071624794884,37.14034083313129,11.140340833131289,34.29020609351501,8.290206093515003,svi_hk,1.7324007431443411,1.5116896663588788,2.0294550199715524,2.4151156602252297,0.2207110767854623,-0.2970542768272113,-0.6827149170808886,1.1460029010564559,0.36537894426422884
7,310,29.089798387096778,81.59959677419354,4.181875,34.412257290982936,8.448366066942473,30.6366245682673,4.697354967905626,36.811004990776425,10.813879087700801,33.24884876012902,7.25380017492252,38.56807929231365,12.56807929231365,35.153242873439595,9.15324287343959,svi_hk,1.7324007431443411,1.8315221676977342,2.3443419841175106,2.7246352308673036,-0.09912142455339312,-0.6119412409731695,-0.9922344877229625,0.9458803031153092,0.563314656443527
8,310,28.737298387096775,82.81774193548387,3.4476532258064516,34.519440205140604,8.552006533682478,30.983907080401114,5.029560000406635,36.868739925789676,10.869840650016435,33.52579235238094,7.527176640243312,38.592906890162105,12.592906890162109,35.386004045376666,9.386004045376673,svi_hk,1.7324007431443411,1.8539903953764096,2.3564738970942853,2.7300176084146104,-0.12158965223206852,-0.6240731539499442,-0.9976168652702693,0.9344173235550217,0.5760542612798585
